"","Word","Strength"
"1","im",0.0165397425799987
"2","th",0.0301096612472973
"3","us",0.0397485487242914
"4","sp",0.0472122553616116
"5","ll",0.00447338912207147
"6","go",0.0231310367163748
"7","ii",0.0303133088685898
"8","q",0.0253511616464712
"9","dr",0.0145647530171448
"10","ma",0.0173772979772242
"11","re",0.0106483505933597
"12","pt",0.033944185355713
"13","hr",0.0146316957090148
"14","s",0.000849178902122127
"15","d",0.0250856288273326
"16","mm",0.0215374786657165
"17","wk",-0.0384881526718179
"18","ph",0.0708861891093135
"19","es",0.0120861333593419
"20","k",0.0627418564258881
"21","bc",-0.0147003474718603
"22","td",-0.00888810153273291
"23","r",-0.0124039423093878
"24","ty",-0.037991737917034
"25","pe",-0.0399163264051789
"26","n",0.00949777887509574
"27","b",0.00764030145680477
"28","eh",-0.0126654459906347
"29","bs",-0.034044076015619
"30","w",0.0291620069810535
"31","st",0.0017892446486454
"32","ah",0.0544417474611524
"33","ve",0.00914619534168159
"34","ca",0.0384540075806926
"35","er",0.0369120076571575
"36","pm",0.0403745243342106
"37","gl",0.0228792509856351
"38","ok",0.0339669571909823
"39","gf",0.05257535857713
"40","u",-0.00841233765970127
"41","ea",0.00429736989817551
"42","af",0.0309757517152209
"43","nd",0.0407107773384869
"44","ur",0.0114682692843916
"45","uk",-0.0105510905061674
"46","rs",-0.0483519176251366
"47","ed",0.0235575468641208
"48","bo",0.0619223465732367
"49","p",-0.0323315066324455
"50","hi",-0.0161582870156885
"51","lo",0.013999005604572
"52","pr",0.0731390950199392
"53","ay",0.0344260252460194
"54","rd",0.00360849813524632
"55","m",0.043323543772645
"56","y",0.00876538741054377
"57","j",0.0086620919219823
"58","vs",0.0318780064868978
"59","oh",-0.0205418799461156
"60","ke",0.028103242206958
"61","t",0.0202130356337543
"62","mr",0.0114694098316088
"63","e",0.0198925015214536
"64","ar",0.0255490236043092
"65","f",-0.028715979710525
"66","al",-0.00378513444466289
"67","o",0.0199390061656485
"68","di",0.018753563450984
"69","rn",-0.0115501553834112
"70","bb",0
"71","ha",0.000761601764326733
"72","fo",0.0178132915346225
